Iron_steel,Olefin,Methanol,Ammonia
14688.77,12514.6,777.86,1186.44
14785.39,12544.69,779.73,1189.29
14818.4,12556.64,780.47,1190.42
14872.06,12581.23,782.0,1192.75
14838.01,12588.05,782.43,1193.4
14824.14,12579.16,781.87,1192.56
14827.1,12577.83,781.79,1192.43
14824.32,12567.99,781.18,1191.5
14832.74,12575.41,781.64,1192.2
14812.82,12579.91,781.92,1192.63
14837.66,12579.84,781.92,1192.62
14865.37,12584.56,782.21,1193.07
14821.39,12593.22,782.75,1193.89
14880.76,12599.53,783.14,1194.49
14887.79,12613.62,784.01,1195.82
14911.31,12626.27,784.8,1197.02
14864.43,12619.98,784.41,1196.43
14898.46,12613.45,784.0,1195.81
14889.34,12623.79,784.65,1196.79
14893.37,12598.47,783.07,1194.39
14848.7,12619.18,784.36,1196.35
14841.97,12584.73,782.22,1193.09
14839.52,12607.59,783.64,1195.25
14822.63,12544.0,779.69,1189.22
14719.46,12517.32,778.03,1186.69
14680.27,12495.43,776.67,1184.62
14579.79,12453.77,774.08,1180.67
14539.77,12429.33,772.56,1178.35
14445.62,12390.89,770.17,1174.71
14339.96,12340.47,767.04,1169.93
14226.09,12294.45,764.18,1165.57
14157.05,12267.91,762.53,1163.05
14092.8,12196.8,758.11,1156.31
13972.11,12160.76,755.87,1152.89
13925.88,12131.43,754.04,1150.11
13802.53,12096.82,751.89,1146.83
